Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Small Organization,M,51.85,,Servers for Small Businesses,
Academic purpose,M,50.22,,Servers for Large Businesses,
Small Organization,M,55.83,,Workstations for Professional Use,
Small organization,M,35.47,,Laptop for Work,
Personal Use,M,52.72,,Laptop for Home,
Gaming Purpose,F,43.12,,Gaming Laptop,
Gaming Purpose,M,52.2,,Desktops for Business,
Big Organization,M,38.41,,Servers for Small Businesses,
Academic purpose,M,48.68,,Servers for Large Businesses,
Academic purpose,F,44.16,,Workstations for Professional Use,
Big Organization,F,47.49,,Laptop for Work,
Gaming Purpose,F,25.53,,Laptop for Home,
Small Organization,F,42.36,,Gaming Laptop,
Big Organization,M,38.16,,Desktops for Business,
Personal Use,M,22.1,,Servers for Small Businesses,
Gaming Purpose,F,54.46,,Servers for Large Businesses,
Small Organization,F,45.56,,Workstations for Professional Use,
Big Organization,M,53.21,,Laptop for Work,
Small organization,F,33.84,,Laptop for Home,
Small organization,M,21.37,,Gaming Laptop,
Small Organization,F,59.71,,Desktops for Business,
Big Organization,F,24.16,,Servers for Small Businesses,
Personal Use,M,42.37,,Servers for Large Businesses,
Gaming Purpose,F,31.43,,Workstations for Professional Use,
Big Organization,F,56.37,,Laptop for Work,
Big Organization,M,46.15,,Laptop for Home,
Personal Use,F,45.79,,Gaming Laptop,
Big Organization,M,28.33,,Desktops for Business,
Small Organization,F,35.75,,Servers for Small Businesses,
Small organization,F,43.04,,Servers for Large Businesses,
Academic purpose,F,22.05,,Workstations for Professional Use,
Small organization,M,47.78,,Laptop for Work,
Big Organization,M,46.2,,Laptop for Home,
Gaming Purpose,M,60,,Gaming Laptop,
Big Organization,M,26.53,,Desktops for Business,
Big Organization,F,41.99,,Servers for Small Businesses,
Big Organization,F,47.72,,Servers for Large Businesses,
Personal Use,M,48.93,,Workstations for Professional Use,
Gaming Purpose,M,55.46,,Laptop for Work,
Big Organization,F,55.21,,Laptop for Home,
Big Organization,F,48.43,,Gaming Laptop,
Academic purpose,M,44.02,,Desktops for Business,
Big Organization,M,26.48,,Servers for Small Businesses,
Big Organization,M,48.18,,Servers for Large Businesses,
Gaming Purpose,F,46.11,,Workstations for Professional Use,
Personal Use,F,25.22,,Laptop for Work,
Big Organization,F,32.13,,Laptop for Home,
Gaming Purpose,F,34.68,,Gaming Laptop,
Small Organization,M,47.66,,Desktops for Business,
Small Organization,F,54.74,,Servers for Small Businesses,
Personal Use,M,47.32,,Servers for Large Businesses,
Big Organization,M,22.99,,Workstations for Professional Use,
Gaming Purpose,M,49.65,,Laptop for Work,
Personal Use,M,23.56,,Laptop for Home,
Small Organization,F,26.87,,Gaming Laptop,
Academic purpose,F,35.41,,Desktops for Business,
Small organization,M,57.77,,Servers for Small Businesses,
Small organization,M,21.92,,Servers for Large Businesses,
Big Organization,M,41.97,,Workstations for Professional Use,
Academic purpose,M,49.75,,Laptop for Work,
Academic purpose,F,28.35,,Laptop for Home,
Small organization,F,46.85,,Gaming Laptop,
Personal Use,M,26.73,,Desktops for Business,
Small Organization,F,57.84,,Servers for Small Businesses,
Big Organization,M,43.86,,Servers for Large Businesses,
Gaming Purpose,M,21.59,,Workstations for Professional Use,
Small organization,F,31.62,,Laptop for Work,
Gaming Purpose,F,46.03,,Laptop for Home,
Gaming Purpose,F,59.43,,Gaming Laptop,
Big Organization,M,49.22,,Desktops for Business,
Small Organization,M,48.01,,Servers for Small Businesses,
Academic purpose,M,53.69,,Servers for Large Businesses,
Small organization,F,39.3,,Workstations for Professional Use,
Big Organization,M,42.02,,Laptop for Work,
Big Organization,F,27.67,,Laptop for Home,
Small Organization,F,36.68,,Gaming Laptop,
Small Organization,M,54.38,,Desktops for Business,
Academic purpose,F,53.08,,Servers for Small Businesses,
Small organization,M,58.26,,Servers for Large Businesses,
Academic purpose,F,42.9,,Workstations for Professional Use,
Small organization,F,28.7,,Laptop for Work,
Academic purpose,F,22.72,,Laptop for Home,
Personal Use,M,31.82,,Gaming Laptop,
Big Organization,F,36.77,,Desktops for Business,
Big Organization,F,31.94,,Servers for Small Businesses,
Academic purpose,F,32.06,,Servers for Large Businesses,
Small Organization,M,54.29,,Workstations for Professional Use,
Big Organization,F,35.7,,Laptop for Work,
Small organization,F,25.93,,Laptop for Home,
Small Organization,F,49.46,,Gaming Laptop,
Big Organization,F,35.99,,Desktops for Business,
Big Organization,F,51.63,,Servers for Small Businesses,
Personal Use,F,40.11,,Servers for Large Businesses,
Academic purpose,M,28.06,,Workstations for Professional Use,
Big Organization,M,23.14,,Laptop for Work,
Small organization,F,32.53,,Laptop for Home,
Big Organization,M,35.09,,Gaming Laptop,
Academic purpose,F,42.27,,Desktops for Business,
Academic purpose,F,22.34,,Servers for Small Businesses,
Academic purpose,M,37.85,,Servers for Large Businesses,
Academic purpose,M,39.11,,Workstations for Professional Use,
Gaming Purpose,M,34.24,,Laptop for Work,
Gaming Purpose,M,59.11,,Laptop for Home,
Gaming Purpose,F,24.09,,Gaming Laptop,
Academic purpose,M,50.55,,Desktops for Business,
Academic purpose,F,28.4,,Servers for Small Businesses,
Big Organization,M,41.32,,Servers for Large Businesses,
Personal Use,F,59.26,,Workstations for Professional Use,
Gaming Purpose,F,57.44,,Laptop for Work,
Small organization,M,33.97,,Laptop for Home,
Gaming Purpose,F,51.76,,Gaming Laptop,
Small Organization,F,30.36,,Desktops for Business,
Small Organization,F,56.93,,Servers for Small Businesses,
Small Organization,M,25.39,,Servers for Large Businesses,
Gaming Purpose,M,55.59,,Workstations for Professional Use,
Small Organization,M,52.94,,Laptop for Work,
Big Organization,M,35.83,,Laptop for Home,
Small organization,F,39.91,,Gaming Laptop,
Gaming Purpose,F,36.88,,Desktops for Business,
Academic purpose,F,22.54,,Servers for Small Businesses,
Small organization,F,29.08,,Servers for Large Businesses,
Small Organization,F,41.01,,Workstations for Professional Use,
Small Organization,M,57.08,,Laptop for Work,
Small organization,M,24.22,,Laptop for Home,
Academic purpose,M,22.27,,Gaming Laptop,
Big Organization,M,54.95,,Desktops for Business,
Gaming Purpose,F,40.53,,Servers for Small Businesses,
Big Organization,M,40.08,,Servers for Large Businesses,
Gaming Purpose,M,49.13,,Workstations for Professional Use,
Small Organization,M,34.26,,Laptop for Work,
Big Organization,F,27.96,,Laptop for Home,
Personal Use,F,46.69,,Gaming Laptop,
Gaming Purpose,F,55.01,,Desktops for Business,
Academic purpose,M,33.23,,Servers for Small Businesses,
Academic purpose,F,40.01,,Servers for Large Businesses,
Big Organization,M,34.68,,Workstations for Professional Use,
Personal Use,F,33.43,,Laptop for Work,
Big Organization,F,32.42,,Laptop for Home,
Gaming Purpose,M,57.67,,Gaming Laptop,
Small Organization,M,28.18,,Desktops for Business,
Gaming Purpose,M,45.53,,Servers for Small Businesses,
Big Organization,F,36.15,,Servers for Large Businesses,
Small Organization,F,41.86,,Workstations for Professional Use,
Small organization,F,26.32,,Laptop for Work,
Small organization,M,44.59,,Laptop for Home,
Academic purpose,F,53.02,,Gaming Laptop,
Big Organization,F,30.87,,Desktops for Business,
Big Organization,M,22.76,,Servers for Small Businesses,
Big Organization,F,51.56,,Servers for Large Businesses,
Big Organization,M,37.36,,Workstations for Professional Use,
Academic purpose,F,42.9,,Laptop for Work,
Academic purpose,M,25.19,,Laptop for Home,
Academic purpose,M,57.49,,Gaming Laptop,
Small organization,F,25.81,,Desktops for Business,
Academic purpose,F,56.5,,Servers for Small Businesses,
Academic purpose,M,35.78,,Servers for Large Businesses,
Academic purpose,M,43.1,,Workstations for Professional Use,
Small organization,F,39.75,,Laptop for Work,
Academic purpose,F,30.16,,Laptop for Home,
Big Organization,M,31.75,,Gaming Laptop,
Big Organization,F,37.23,,Desktops for Business,
Academic purpose,F,26.82,,Servers for Small Businesses,
Big Organization,F,38.73,,Servers for Large Businesses,
Small organization,F,23.81,,Workstations for Professional Use,
Big Organization,F,58.38,,Laptop for Work,
Academic purpose,M,36.45,,Laptop for Home,
Personal Use,M,58.96,,Gaming Laptop,
Personal Use,M,36.7,,Desktops for Business,
Small organization,M,56.18,,Servers for Small Businesses,
Small Organization,F,44.32,,Servers for Large Businesses,
Big Organization,M,27.98,,Workstations for Professional Use,
Small organization,F,50.68,,Laptop for Work,
Small Organization,F,47.9,,Laptop for Home,
Small organization,M,49.88,,Gaming Laptop,
Small Organization,F,57.83,,Desktops for Business,
Gaming Purpose,M,21.02,,Servers for Small Businesses,
Gaming Purpose,M,59.95,,Servers for Large Businesses,
Big Organization,F,56.83,,Workstations for Professional Use,
Personal Use,F,25.93,,Laptop for Work,
Big Organization,F,53.49,,Laptop for Home,
Academic purpose,F,30.38,,Gaming Laptop,
Small Organization,M,53.67,,Desktops for Business,
Small Organization,M,23.58,,Servers for Small Businesses,
Gaming Purpose,M,33.89,,Servers for Large Businesses,
Small Organization,M,23.4,,Workstations for Professional Use,
Academic purpose,M,33.12,,Laptop for Work,
Small organization,M,24.5,,Laptop for Home,
Gaming Purpose,M,37.55,,Gaming Laptop,
Big Organization,M,53.83,,Desktops for Business,
Academic purpose,M,50.71,,Servers for Small Businesses,
Small organization,F,21.27,,Servers for Large Businesses,
Small Organization,F,36.79,,Workstations for Professional Use,
Academic purpose,F,28.65,,Laptop for Work,
Big Organization,F,49.21,,Laptop for Home,
Gaming Purpose,F,44.88,,Gaming Laptop,
Personal Use,M,37.45,,Desktops for Business,
Small Organization,M,39.47,,Servers for Small Businesses,
Small Organization,M,34.15,,Servers for Large Businesses,
Small organization,M,28.2,,Workstations for Professional Use,
Big Organization,F,59.41,,Laptop for Work,
Small organization,M,31.06,,Laptop for Home,
Small organization,F,54.36,,Gaming Laptop,
Academic purpose,M,59.49,,Desktops for Business,
Academic purpose,F,39.03,,Servers for Small Businesses,
Small Organization,F,54.8,,Servers for Large Businesses,
Personal Use,M,26.39,,Workstations for Professional Use,
Small organization,M,50.9,,Laptop for Work,
Big Organization,M,43.71,,Laptop for Home,
Big Organization,F,54.24,,Gaming Laptop,
Academic purpose,F,27.1,,Desktops for Business,
Big Organization,M,30.99,,Servers for Small Businesses,
Small Organization,F,57.36,,Servers for Large Businesses,
Big Organization,M,40.55,,Workstations for Professional Use,
Big Organization,F,40.07,,Laptop for Work,
Personal Use,M,47.2,,Laptop for Home,
Personal Use,F,38.9,,Gaming Laptop,
Small Organization,M,34.06,,Desktops for Business,
Small organization,M,53.19,,Servers for Small Businesses,
Big Organization,F,29.33,,Servers for Large Businesses,
Big Organization,M,58.78,,Workstations for Professional Use,
Small organization,M,44.72,,Laptop for Work,
Big Organization,F,39.09,,Laptop for Home,
Big Organization,M,43.12,,Gaming Laptop,
Big Organization,M,45.44,,Desktops for Business,
Academic purpose,F,52.63,,Servers for Small Businesses,
Personal Use,F,52.66,,Servers for Large Businesses,
Small organization,F,36.68,,Workstations for Professional Use,
Gaming Purpose,F,38.87,,Laptop for Work,
Small Organization,M,27.53,,Laptop for Home,
Big Organization,M,55.58,,Gaming Laptop,
Academic purpose,M,54.99,,Desktops for Business,
Small organization,F,54.04,,Servers for Small Businesses,
Big Organization,M,26.31,,Servers for Large Businesses,
Academic purpose,M,52.78,,Workstations for Professional Use,
Big Organization,M,25.45,,Laptop for Work,
Small Organization,F,22.45,,Laptop for Home,
Big Organization,F,56.49,,Gaming Laptop,
Small organization,M,33.95,,Desktops for Business,
Big Organization,M,50.34,,Servers for Small Businesses,
Small organization,F,45.64,,Servers for Large Businesses,
Gaming Purpose,M,56.72,,Workstations for Professional Use,
Academic purpose,M,32.05,,Laptop for Work,
Personal Use,M,36.33,,Laptop for Home,
Small organization,F,24.63,,Gaming Laptop,
Gaming Purpose,F,33.32,,Desktops for Business,
Big Organization,F,25.83,,Servers for Small Businesses,
Small organization,M,25.98,,Servers for Large Businesses,
Big Organization,F,30.47,,Workstations for Professional Use,
Academic purpose,F,40.72,,Laptop for Work,
Gaming Purpose,F,37.27,,Laptop for Home,
Small organization,M,22.24,,Gaming Laptop,
Big Organization,F,50.72,,Desktops for Business,
Small Organization,F,45.01,,Servers for Small Businesses,
Academic purpose,M,34.13,,Servers for Large Businesses,
Small organization,F,46.96,,Workstations for Professional Use,
Big Organization,F,47.97,,Laptop for Work,
Big Organization,M,21.42,,Laptop for Home,
Big Organization,M,27.44,,Gaming Laptop,
Small Organization,F,43.36,,Desktops for Business,
Academic purpose,F,57.31,,Servers for Small Businesses,
Gaming Purpose,M,51.81,,Servers for Large Businesses,
Academic purpose,M,51.99,,Workstations for Professional Use,
Small Organization,F,51.58,,Laptop for Work,
Big Organization,F,49.85,,Laptop for Home,
Big Organization,M,32.19,,Gaming Laptop,
Academic purpose,F,29.83,,Desktops for Business,
Small Organization,M,33.12,,Servers for Small Businesses,
Small Organization,M,30.22,,Servers for Large Businesses,
Small Organization,F,43.21,,Workstations for Professional Use,
Small Organization,F,23.79,,Laptop for Work,
Personal Use,M,46.39,,Laptop for Home,
Small Organization,F,56.07,,Gaming Laptop,
Academic purpose,M,57.64,,Desktops for Business,
Small organization,M,22.96,,Servers for Small Businesses,
Small organization,F,32.18,,Servers for Large Businesses,
Personal Use,F,23.55,,Workstations for Professional Use,
Personal Use,F,37.93,,Laptop for Work,
Academic purpose,F,40.19,,Laptop for Home,
Small Organization,F,28.19,,Gaming Laptop,
Big Organization,M,37.84,,Desktops for Business,
Small Organization,F,33.63,,Servers for Small Businesses,
Big Organization,F,53.61,,Servers for Large Businesses,
Small Organization,F,32.48,,Workstations for Professional Use,
Big Organization,M,42.62,,Laptop for Work,
Big Organization,F,44.97,,Laptop for Home,
Small organization,M,26.09,,Gaming Laptop,
Big Organization,F,23.03,,Desktops for Business,
Gaming Purpose,F,34.61,,Servers for Small Businesses,
Personal Use,M,42.28,,Servers for Large Businesses,
Big Organization,F,41.79,,Workstations for Professional Use,
Small Organization,F,55.19,,Laptop for Work,
Big Organization,F,44.02,,Laptop for Home,
Big Organization,F,24.56,,Gaming Laptop,
Big Organization,F,52.62,,Desktops for Business,
Academic purpose,F,47.22,,Servers for Small Businesses,
Personal Use,F,37.09,,Servers for Large Businesses,
Small organization,M,38.95,,Workstations for Professional Use,
Big Organization,M,53.77,,Laptop for Work,
Big Organization,M,33.74,,Laptop for Home,
Small Organization,M,52.58,,Gaming Laptop,
Academic purpose,F,44.21,,Desktops for Business,
Personal Use,F,25.18,,Servers for Small Businesses,
Big Organization,M,29.29,,Servers for Large Businesses,
Small organization,M,26.24,,Workstations for Professional Use,
Big Organization,F,47.25,,Laptop for Work,
Gaming Purpose,M,29.06,,Laptop for Home,
Small Organization,F,47.8,,Gaming Laptop,
Small Organization,M,44.37,,Desktops for Business,
Personal Use,M,44.63,,Servers for Small Businesses,
Small organization,F,34.41,,Servers for Large Businesses,
Academic purpose,M,44.07,,Workstations for Professional Use,
Academic purpose,F,51.27,,Laptop for Work,
Small organization,M,42.04,,Laptop for Home,
Small organization,F,53.45,,Gaming Laptop,
Gaming Purpose,F,50.3,,Desktops for Business,
Gaming Purpose,M,24.74,,Servers for Small Businesses,
Gaming Purpose,M,34.83,,Servers for Large Businesses,
Personal Use,F,44.21,,Workstations for Professional Use,
Big Organization,F,39.59,,Laptop for Work,
Gaming Purpose,M,34.62,,Laptop for Home,
Big Organization,F,27.45,,Gaming Laptop,
Big Organization,F,46.96,,Desktops for Business,
Big Organization,F,23.41,,Servers for Small Businesses,
Academic purpose,M,28.26,,Servers for Large Businesses,
Small Organization,F,53.03,,Workstations for Professional Use,
Big Organization,F,47.73,,Laptop for Work,
Big Organization,M,32.15,,Laptop for Home,
Big Organization,M,45.02,,Gaming Laptop,
Gaming Purpose,M,36.83,,Desktops for Business,
Academic purpose,M,36.84,,Servers for Small Businesses,
Big Organization,M,56.57,,Servers for Large Businesses,
Gaming Purpose,M,40.77,,Workstations for Professional Use,
Big Organization,M,49.74,,Laptop for Work,
Small organization,M,28.35,,Laptop for Home,
Personal Use,F,28.31,,Gaming Laptop,
Small organization,F,24.41,,Desktops for Business,
Academic purpose,M,54.79,,Servers for Small Businesses,
Small organization,F,40.61,,Servers for Large Businesses,
Small organization,M,34.43,,Workstations for Professional Use,
Big Organization,M,38.34,,Laptop for Work,
Personal Use,M,43.68,,Laptop for Home,
Big Organization,F,37.73,,Gaming Laptop,
Big Organization,F,24.87,,Desktops for Business,
Personal Use,M,22,,Servers for Small Businesses,
Personal Use,F,56.21,,Servers for Large Businesses,
Small organization,M,27.06,,Workstations for Professional Use,
Small organization,F,26.95,,Laptop for Work,
Gaming Purpose,M,26.32,,Laptop for Home,
Small Organization,M,43.84,,Gaming Laptop,
Small organization,F,39.75,,Desktops for Business,
Gaming Purpose,F,47.88,,Servers for Small Businesses,
Big Organization,M,38.25,,Servers for Large Businesses,
Small Organization,M,45.19,,Workstations for Professional Use,
Small Organization,M,33.19,,Laptop for Work,
Gaming Purpose,F,55.27,,Laptop for Home,
Academic purpose,M,39.27,,Gaming Laptop,
Academic purpose,F,49.47,,Desktops for Business,
Academic purpose,M,27.56,,Servers for Small Businesses,
Academic purpose,F,35.63,,Servers for Large Businesses,
Gaming Purpose,F,24.87,,Workstations for Professional Use,
Academic purpose,F,55.09,,Laptop for Work,
Small organization,F,47.29,,Laptop for Home,
Academic purpose,F,52.85,,Gaming Laptop,
Big Organization,F,24.04,,Desktops for Business,
Gaming Purpose,F,50.05,,Servers for Small Businesses,
Academic purpose,M,23.56,,Servers for Large Businesses,
Small organization,M,33.69,,Workstations for Professional Use,
Small Organization,M,40.81,,Laptop for Work,
Personal Use,F,31.53,,Laptop for Home,
Small Organization,F,47.86,,Gaming Laptop,
Big Organization,M,21.33,,Desktops for Business,
Academic purpose,F,34.71,,Servers for Small Businesses,
Gaming Purpose,F,25.32,,Servers for Large Businesses,
Gaming Purpose,F,40.4,,Workstations for Professional Use,
Academic purpose,F,38.85,,Laptop for Work,
Small organization,F,57.29,,Laptop for Home,
Big Organization,F,27.37,,Gaming Laptop,
Small organization,M,42.68,,Desktops for Business,
Small organization,F,30.67,,Servers for Small Businesses,
Small organization,M,37.61,,Servers for Large Businesses,
Small organization,F,23.27,,Workstations for Professional Use,
Small Organization,M,41.95,,Laptop for Work,
Personal Use,F,38.15,,Laptop for Home,
Gaming Purpose,F,35.75,,Gaming Laptop,
Small Organization,M,46.73,,Desktops for Business,
Big Organization,F,29.76,,Servers for Small Businesses,
Personal Use,F,24.02,,Servers for Large Businesses,
Big Organization,M,28.31,,Workstations for Professional Use,
Big Organization,F,43.13,,Laptop for Work,
Gaming Purpose,F,21.38,,Laptop for Home,
Personal Use,M,47.92,,Gaming Laptop,
Small Organization,F,44.91,,Desktops for Business,
Personal Use,M,44.97,,Servers for Small Businesses,
Gaming Purpose,F,36.38,,Servers for Large Businesses,
Gaming Purpose,M,51.83,,Workstations for Professional Use,
Big Organization,F,31.66,,Laptop for Work,
Small Organization,M,35.4,,Laptop for Home,
Academic purpose,F,40.07,,Gaming Laptop,
Small organization,M,35.68,,Desktops for Business,
Academic purpose,F,26.71,,Servers for Small Businesses,
Small organization,M,45.7,,Servers for Large Businesses,
Academic purpose,F,41.05,,Workstations for Professional Use,
Academic purpose,M,37.75,,Laptop for Work,
Small organization,M,23.73,,Laptop for Home,
Academic purpose,M,57.81,,Gaming Laptop,
Academic purpose,M,32.67,,Desktops for Business,
Small organization,M,37.24,,Servers for Small Businesses,
Big Organization,F,30.38,,Servers for Large Businesses,
Personal Use,M,23.79,,Workstations for Professional Use,
Big Organization,M,51.55,,Laptop for Work,
Big Organization,F,51.73,,Laptop for Home,
Big Organization,M,48.86,,Gaming Laptop,
Small organization,F,41.35,,Desktops for Business,
Personal Use,M,41.07,,Servers for Small Businesses,
Gaming Purpose,M,39.67,,Servers for Large Businesses,
Big Organization,F,56.36,,Workstations for Professional Use,
Small organization,F,22.34,,Laptop for Work,
Big Organization,F,26.89,,Laptop for Home,
Big Organization,F,36.92,,Gaming Laptop,
Small organization,F,24.62,,Desktops for Business,
Academic purpose,F,24.26,,Servers for Small Businesses,
Academic purpose,M,58.42,,Servers for Large Businesses,
Big Organization,F,59.24,,Workstations for Professional Use,
Big Organization,M,56.37,,Laptop for Work,
Big Organization,F,35.73,,Laptop for Home,
Big Organization,M,33.35,,Gaming Laptop,
Personal Use,F,43.77,,Desktops for Business,
Big Organization,F,53.86,,Servers for Small Businesses,
Personal Use,F,35.03,,Servers for Large Businesses,
Big Organization,F,29.12,,Workstations for Professional Use,
Personal Use,M,24.52,,Laptop for Work,
Gaming Purpose,F,50.36,,Laptop for Home,
Big Organization,M,48.56,,Gaming Laptop,
Big Organization,M,49.44,,Desktops for Business,
Personal Use,F,34.94,,Servers for Small Businesses,
Big Organization,M,34.65,,Servers for Large Businesses,
Small organization,M,53.39,,Workstations for Professional Use,
Personal Use,M,43.79,,Laptop for Work,
Small organization,F,49.32,,Laptop for Home,
Gaming Purpose,M,48.53,,Gaming Laptop,
Small Organization,M,35.7,,Desktops for Business,
Academic purpose,F,43.93,,Servers for Small Businesses,
Small organization,F,41.36,,Servers for Large Businesses,
Big Organization,F,50.32,,Workstations for Professional Use,
Gaming Purpose,F,49.34,,Laptop for Work,
Small Organization,F,27.35,,Laptop for Home,
Small Organization,M,42.66,,Gaming Laptop,
Academic purpose,F,51.35,,Desktops for Business,
Personal Use,F,40.27,,Servers for Small Businesses,
Big Organization,M,53.85,,Servers for Large Businesses,
Academic purpose,F,45.21,,Workstations for Professional Use,
Big Organization,F,57.46,,Laptop for Work,
Small organization,M,22.11,,Laptop for Home,
Gaming Purpose,F,50.94,,Gaming Laptop,
Personal Use,F,59.87,,Desktops for Business,
Small organization,M,49.52,,Servers for Small Businesses,
Small Organization,F,56.62,,Servers for Large Businesses,
Big Organization,M,28.45,,Workstations for Professional Use,
Big Organization,F,57.91,,Laptop for Work,
Gaming Purpose,M,41.9,,Laptop for Home,
Gaming Purpose,F,39.19,,Gaming Laptop,
Personal Use,F,58.95,,Desktops for Business,
Small Organization,F,29.48,,Servers for Small Businesses,
Personal Use,M,23.99,,Servers for Large Businesses,
Academic purpose,M,30.36,,Workstations for Professional Use,
Gaming Purpose,F,24.27,,Laptop for Work,
Gaming Purpose,F,42.14,,Laptop for Home,
Big Organization,M,57.72,,Gaming Laptop,
Small Organization,M,41.32,,Desktops for Business,
Big Organization,F,25.02,,Servers for Small Businesses,
Small Organization,F,26.31,,Servers for Large Businesses,
Small Organization,M,23.98,,Workstations for Professional Use,
Academic purpose,M,53.37,,Laptop for Work,
Gaming Purpose,M,49.07,,Laptop for Home,
Big Organization,M,28.82,,Gaming Laptop,
Academic purpose,F,32.24,,Desktops for Business,
Gaming Purpose,F,37.48,,Servers for Small Businesses,
Big Organization,M,30.05,,Servers for Large Businesses,
Big Organization,F,37.39,,Workstations for Professional Use,
Small organization,F,49.95,,Laptop for Work,
Big Organization,M,51.76,,Laptop for Home,
Small organization,F,22.87,,Gaming Laptop,
Gaming Purpose,F,39.14,,Desktops for Business,
Academic purpose,F,39.07,,Servers for Small Businesses,
Small organization,F,26.93,,Servers for Large Businesses,
Personal Use,M,28.19,,Workstations for Professional Use,
Gaming Purpose,F,40.04,,Laptop for Work,
Small organization,F,53.59,,Laptop for Home,
Gaming Purpose,M,58.88,,Gaming Laptop,
Personal Use,F,50.94,,Desktops for Business,
Academic purpose,F,45.51,,Servers for Small Businesses,
Personal Use,F,25.02,,Servers for Large Businesses,
Big Organization,F,38.13,,Workstations for Professional Use,
Gaming Purpose,F,41.82,,Laptop for Work,
Big Organization,F,40.8,,Laptop for Home,
Big Organization,M,54.87,,Gaming Laptop,
Personal Use,M,59.35,,Desktops for Business,
Gaming Purpose,F,33.8,,Servers for Small Businesses,
Gaming Purpose,M,49.61,,Servers for Large Businesses,
Small organization,F,44.18,,Workstations for Professional Use,
Big Organization,M,50.84,,Laptop for Work,
Big Organization,F,44.6,,Laptop for Home,
Big Organization,F,36.48,,Gaming Laptop,
Personal Use,F,24.99,,Desktops for Business,
Gaming Purpose,F,28.04,,Servers for Small Businesses,
Personal Use,M,57.22,,Servers for Large Businesses,
Academic purpose,F,43.36,,Workstations for Professional Use,
Personal Use,M,23.88,,Laptop for Work,
Small organization,M,35.04,,Laptop for Home,
Small organization,M,39.42,,Gaming Laptop,
Big Organization,M,53.12,,Desktops for Business,
Small organization,F,42.42,,Servers for Small Businesses,
Big Organization,F,47.06,,Servers for Large Businesses,
Small organization,F,41.22,,Workstations for Professional Use,
Big Organization,F,47.96,,Laptop for Work,
Big Organization,M,37.71,,Laptop for Home,
Big Organization,F,28.96,,Gaming Laptop,
Small organization,F,58.42,,Desktops for Business,
Big Organization,M,29.01,,Servers for Small Businesses,
Academic purpose,M,58.85,,Servers for Large Businesses,
Small Organization,M,32.77,,Workstations for Professional Use,
Small organization,F,52.07,,Laptop for Work,
Academic purpose,F,35.81,,Laptop for Home,
Big Organization,M,32.48,,Gaming Laptop,
Gaming Purpose,F,22.11,,Desktops for Business,
Small organization,F,45.99,,Servers for Small Businesses,
Academic purpose,M,48.73,,Servers for Large Businesses,
Big Organization,M,55.25,,Workstations for Professional Use,
Small Organization,M,47.78,,Laptop for Work,
Small Organization,M,29.28,,Laptop for Home,
Big Organization,F,47.59,,Gaming Laptop,
Personal Use,F,23.3,,Desktops for Business,
Big Organization,M,33.21,,Servers for Small Businesses,
Personal Use,M,53.79,,Servers for Large Businesses,
Personal Use,M,31.07,,Workstations for Professional Use,
Personal Use,M,41.81,,Laptop for Work,
Big Organization,F,27.96,,Laptop for Home,
Personal Use,F,58.63,,Gaming Laptop,
Personal Use,M,36.24,,Desktops for Business,
Big Organization,M,54.48,,Servers for Small Businesses,
Big Organization,F,32.25,,Servers for Large Businesses,
Big Organization,M,45.7,,Workstations for Professional Use,
Personal Use,F,41.07,,Laptop for Work,
Big Organization,F,58.01,,Laptop for Home,
Big Organization,F,55.42,,Gaming Laptop,
Personal Use,M,21.14,,Desktops for Business,
Big Organization,F,22.92,,Servers for Small Businesses,
Gaming Purpose,F,43.62,,Servers for Large Businesses,
Gaming Purpose,M,57.47,,Workstations for Professional Use,
Academic purpose,M,53.87,,Laptop for Work,
Personal Use,M,56.04,,Laptop for Home,
Academic purpose,F,55.54,,Gaming Laptop,
Personal Use,M,46.53,,Desktops for Business,
Big Organization,M,22.07,,Servers for Small Businesses,
Academic purpose,F,58.06,,Servers for Large Businesses,
Gaming Purpose,M,54.53,,Workstations for Professional Use,
Big Organization,F,59.37,,Laptop for Work,
Big Organization,M,22.69,,Laptop for Home,
Personal Use,F,43.52,,Gaming Laptop,
Small Organization,F,54.36,,Desktops for Business,
Gaming Purpose,F,24.89,,Servers for Small Businesses,
Gaming Purpose,F,39.95,,Servers for Large Businesses,
Gaming Purpose,F,26.34,,Workstations for Professional Use,
Small organization,F,24.31,,Laptop for Work,
Personal Use,F,56.67,,Laptop for Home,
Small organization,F,42.82,,Gaming Laptop,
Big Organization,F,39.33,,Desktops for Business,
Personal Use,F,25.68,,Servers for Small Businesses,
Academic purpose,M,43.38,,Servers for Large Businesses,
Big Organization,M,43.55,,Workstations for Professional Use,
Personal Use,M,36.69,,Laptop for Work,
Academic purpose,F,36.29,,Laptop for Home,
Small Organization,M,58.37,,Gaming Laptop,
Gaming Purpose,M,39.14,,Desktops for Business,
Small Organization,M,30.5,,Servers for Small Businesses,
Big Organization,M,47.96,,Servers for Large Businesses,
Big Organization,M,28.1,,Workstations for Professional Use,
Gaming Purpose,F,30.88,,Laptop for Work,
Academic purpose,F,32.27,,Laptop for Home,
Small Organization,F,47.05,,Gaming Laptop,
Small Organization,M,24.7,,Desktops for Business,
Big Organization,M,43.8,,Servers for Small Businesses,
Big Organization,M,33.35,,Servers for Large Businesses,
Big Organization,M,33.91,,Workstations for Professional Use,
Small Organization,F,51.42,,Laptop for Work,
